PuzzleId,GameId,FEN,Moves,Rating
AYZ8R,,3r3r/p1kq1p2/Q1N5/4P1p1/2Pp4/5Pp1/PP3P2/R3R1K1 w - - 1 26,c6d8 h8h1 g1h1 d7h3 h1g1 h3h2 g1f1 h2f2,1625
AYZuu,,rnb2rk1/ppp2ppp/4pq2/3pN3/4n1P1/1P1PP2P/P1P2P2/RN1QKB1R w KQ - 1 10,d3d4 f6f2,803
AYZzB,,1Q3b2/5p1k/4p1p1/4P1p1/2r3K1/6RP/8/2n5 w - - 6 52,g4g5 f8e7,1762
AYa1I,,1k1r3r/1p3pb1/P6p/3Pn1p1/P2p4/5P1q/2QP1PR1/2R2K2 b - - 0 28,e5f3 c2c7 b8a7 c7b7,1394
AYZC7,,5k1r/2q5/1p2Q1B1/p7/6p1/P3PbPp/1P3P1P/3R2K1 w - - 5 29,d1d7 c7c1 d7d1 c1d1,686
AYZem,,2kr3r/pp1nbp2/2p1p3/6q1/2BP2np/P1N1RQ2/1PP2PPB/R5K1 b - - 1 20,g4e3 f3c6 b7c6 c4a6,955
AYZrN,,2r3k1/3rq2p/3p2Q1/p2n2P1/1p1N4/2P4R/PP6/2K4R b - - 0 30,h7g6 h3h8 g8f7 h1h7,1246
AYYtJ,,8/5pp1/8/2R1Pp2/5P2/3RK3/rrk5/8 b - - 3 34,c2b1 d3d1,888
AYXPr,,2rr2k1/1bq1bp1p/ppn1p1pQ/8/2BPN3/2P2N2/P4PPP/R3R1K1 b - - 5 19,e7f8 e4f6 g8h8 h6h7,1109
AYXRM,,2q5/1p3R1k/6Rp/7r/8/P6b/1PP2Q1K/8 b - - 0 28,h7g6 f2f6,992
AYXUi,,8/7p/1R6/6pk/8/N5PP/p4K2/2r5 b - - 0 60,a2a1q g3g4 h5h4 b6h6,1017
AYX9q,,4r2k/p1p1Q1pp/1p6/8/8/8/P4PPP/3R2K1 b - - 0 23,e8e7 d1d8 e7e8 d8e8,400
AYXLS,,2r2Q1k/1pp5/p2p2p1/P3p2p/1P2n1qP/4PRP1/6K1/5R2 b - - 1 34,c8f8 f3f8 h8g7 f1f7 g7h6 f8h8,1114
AYXPS,,r3k2r/p4ppp/1qpQpb2/8/1B6/P7/2P2PPP/3R1RK1 b kq - 3 18,a7a5 d6d7,999
AYY9q,,8/p7/2p1Q3/8/4r3/5R1K/4k1P1/1q6 w - - 8 50,e6c6 b1h1 h3g3 h1h4,1089
AYYTS,,4rr1k/p1q1bNpp/2p1Q3/1pPn4/1P3p2/5P1P/PB3KP1/R6R b - - 6 25,h8g8 f7h6 g8h8 e6g8 f8g8 h6f7,1390
AYYj9,,r5k1/1pp5/6p1/5b2/2P5/pPqP3p/P3Q2P/1K1RR3 w - - 1 33,e2d2 f5d3 d2d3 c3b2,1392
AYXjq,,8/p6k/3p3n/3Pp3/P3P2p/1P1Q3N/6B1/2q3K1 w - - 6 47,g1h2 h6g4,937
AYXyW,,3r3k/p5p1/5p2/4p2p/5QnB/8/PPP2PPP/R2r2KR w - - 1 25,a1d1 d8d1,774
AYXzM,,8/pp2R2p/2Q3p1/2n5/k1P3P1/6q1/P4r2/1R5K b - - 0 35,b7c6 e7a7 c5a6 a7a6,932
